0,1
set/match start,409
end of point,765
service MarL_MarB,1092
end of point,1339
service MarL_MarB,1716
end of point,2223
service JOMR,2595
end of point,2745
service JOMR,2987
end of point,3263
service JOMR,3548
end of point,3706
service MarL_MarB,3922
end of point,4208
*SWITCH*,4261
SWITCH,4261
service JOMR,4688
end of point,4994
service JOMR,5370
end of point,5629
*BACK TO LAST SWITCH*,5838
